epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,131.331,1.60509,3.0226,5.23241,0.01052,7.5841,0.04094,0.11534,0.03176,0.02409,0.04405,0.11097,0.03076,0.02086,1.17909,2.01649,4.113,0.00945,0,7.41533e-05,7.41533e-05,7.41533e-05
2,209.887,1.32633,2.14711,3.47013,0.00745,5.3835,0.2558,0.35228,0.25959,0.19908,0.25169,0.34803,0.25447,0.17327,1.09604,1.66025,2.08538,0.00809,0,0.000148831,0.000148831,0.000148831
3,288.492,1.27521,1.90963,2.35682,0.00692,3.62182,0.45202,0.50779,0.45751,0.34932,0.44821,0.50043,0.44737,0.3005,1.09945,1.57456,1.66237,0.00808,0,0.00022251,0.00022251,0.00022251
4,366.999,1.23199,1.79026,1.81664,0.00656,2.60641,0.59677,0.57906,0.59829,0.4598,0.58947,0.57099,0.58593,0.40402,1.08795,1.46644,1.39071,0.00796,0,0.000222505,0.000222505,0.000222505
5,445.79,1.20006,1.71266,1.57256,0.0062,1.836,0.66367,0.63383,0.67616,0.52871,0.65727,0.6203,0.65969,0.45063,1.04826,1.42743,1.22187,0.0075,0,0.000221007,0.000221007,0.000221007
6,523.768,1.17033,1.65878,1.4332,0.00604,1.29479,0.69518,0.66683,0.71363,0.55313,0.68942,0.65224,0.69723,0.48716,1.04835,1.37912,1.11647,0.0074,0,0.000219509,0.000219509,0.000219509
7,602.304,1.1533,1.61098,1.34638,0.00594,0.92832,0.71393,0.67443,0.73308,0.57431,0.70636,0.6643,0.71714,0.50268,1.0306,1.35707,1.08256,0.00719,0,0.000218011,0.000218011,0.000218011
8,680.898,1.13048,1.57761,1.2772,0.00581,0.75801,0.73538,0.69736,0.7547,0.59692,0.72181,0.69088,0.73692,0.50346,0.99942,1.33552,1.04079,0.00695,0,0.000216513,0.000216513,0.000216513
9,759.11,1.13152,1.57358,1.23188,0.00572,0.65596,0.76431,0.69217,0.76579,0.60489,0.75431,0.67829,0.74635,0.51232,0.99017,1.33282,1.03797,0.00668,0,0.000215014,0.000215014,0.000215014
10,837.497,1.12387,1.54925,1.18557,0.00556,0.54185,0.76159,0.71555,0.77615,0.6129,0.75429,0.70345,0.75848,0.52729,0.98614,1.3025,0.99206,0.00693,0,0.000213516,0.000213516,0.000213516
11,915.385,1.11287,1.53462,1.15438,0.00554,0.50424,0.78276,0.72482,0.79139,0.62856,0.7746,0.71209,0.77372,0.53735,0.97515,1.31586,0.96801,0.00666,0,0.000212018,0.000212018,0.000212018
12,993.641,1.10082,1.51318,1.11795,0.00548,0.48094,0.76917,0.73384,0.79319,0.63254,0.76161,0.71723,0.77202,0.53216,0.97895,1.31008,0.95725,0.0068,0,0.00021052,0.00021052,0.00021052
13,1071.74,1.09535,1.49664,1.09298,0.00537,0.46877,0.79991,0.7269,0.80217,0.63983,0.7956,0.71331,0.78218,0.54045,0.96873,1.30231,0.92982,0.00666,0,0.000209022,0.000209022,0.000209022
14,1150.1,1.08638,1.47961,1.06526,0.00538,0.43787,0.79688,0.73578,0.80307,0.63954,0.78763,0.72608,0.78704,0.54656,0.96533,1.28285,0.92173,0.00654,0,0.000207523,0.000207523,0.000207523
15,1227.96,1.07736,1.47104,1.04192,0.00527,0.42494,0.79955,0.7373,0.80988,0.64768,0.79106,0.72386,0.79005,0.53152,0.96508,1.3048,0.91361,0.00666,0,0.000206025,0.000206025,0.000206025
16,1305.93,1.07488,1.46575,1.02584,0.00523,0.41454,0.805,0.75054,0.81622,0.65044,0.79895,0.73578,0.79853,0.56232,0.96082,1.28494,0.89505,0.00651,0,0.000204527,0.000204527,0.000204527
17,1384.36,1.07267,1.44903,1.01295,0.00523,0.39204,0.79403,0.75685,0.81741,0.6546,0.79363,0.74337,0.80218,0.55192,0.94704,1.26622,0.88623,0.00643,0,0.000203029,0.000203029,0.000203029
18,1462.03,1.06013,1.44618,0.99605,0.00518,0.37501,0.8073,0.74273,0.82085,0.65826,0.80454,0.72655,0.79944,0.55026,0.95034,1.26072,0.88884,0.00642,0,0.000201531,0.000201531,0.000201531
19,1540.13,1.06717,1.43789,0.98861,0.00507,0.37572,0.81901,0.74988,0.82531,0.65815,0.81131,0.7385,0.80657,0.54743,0.95204,1.27306,0.87564,0.00638,0,0.000200032,0.000200032,0.000200032
20,1618.02,1.063,1.42977,0.96667,0.00511,0.36737,0.82033,0.75179,0.82821,0.66631,0.81708,0.73536,0.80668,0.55137,0.93704,1.25253,0.85318,0.00628,0,0.000198534,0.000198534,0.000198534
21,1696.23,1.05421,1.43212,0.95542,0.00508,0.35098,0.81694,0.76004,0.82985,0.66628,0.81912,0.73406,0.80647,0.54859,0.93853,1.26344,0.85083,0.0062,0,0.000197036,0.000197036,0.000197036
22,1774.01,1.04019,1.38474,0.93551,0.00499,0.35208,0.8156,0.76577,0.83122,0.67476,0.81421,0.74663,0.81029,0.56325,0.92805,1.26226,0.84721,0.00625,0,0.000195538,0.000195538,0.000195538
23,1852.42,1.04119,1.40705,0.92347,0.00494,0.34514,0.82964,0.75548,0.83304,0.67537,0.82266,0.7417,0.81061,0.56133,0.92609,1.24947,0.8443,0.00614,0,0.00019404,0.00019404,0.00019404
24,1930.09,1.03459,1.39249,0.9167,0.00491,0.34081,0.81992,0.7754,0.83804,0.67855,0.82196,0.75144,0.81812,0.57304,0.92886,1.25104,0.83664,0.00621,0,0.000192541,0.000192541,0.000192541
25,2007.87,1.03357,1.38527,0.91147,0.00493,0.33706,0.82828,0.76466,0.84032,0.67958,0.82761,0.74379,0.81817,0.55928,0.92403,1.2729,0.84053,0.00612,0,0.000191043,0.000191043,0.000191043
